task,round,global_round,task_progress,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
0,1,1,0.025,93.7001,93.7001,91.2421,93.9832,93.7001,93.1188,93.7001,93.7001,92.0664,93.7656,9.0579,0.241508
0,2,2,0.05,95.3729,95.3729,92.6334,95.7086,95.3729,94.8377,95.3729,95.3729,93.6116,95.4529,8.2872,0.171648
0,3,3,0.075,94.0861,94.0861,91.3151,94.5017,94.0861,93.6769,94.0861,94.0861,92.334,94.1903,7.988,0.220534
0,4,4,0.1,95.6929,95.6929,93.0906,95.9926,95.6929,95.1627,95.6929,95.6929,94.0182,95.7704,7.553,0.126032
0,5,5,0.125,95.5768,95.5768,93.1123,96.1046,95.5768,95.3115,95.5768,95.5768,93.9752,95.7156,7.7211,0.140355
0,6,6,0.15,95.4107,95.4107,92.9284,95.9613,95.4107,95.1064,95.4107,95.4107,93.7669,95.5544,7.8711,0.143121
0,7,7,0.175,92.4462,92.4462,90.6428,93.2183,92.4462,91.414,92.4462,92.4462,90.5772,92.6063,7.7548,0.258832
0,8,8,0.2,95.5482,95.5482,93.1125,96.106,95.5482,95.2413,95.5482,95.5482,93.9228,95.6964,7.5356,0.145493
0,9,9,0.225,95.5133,95.5133,93.0068,96.0315,95.5133,95.2253,95.5133,95.5133,93.8856,95.6505,7.7357,0.140411
0,10,10,0.25,95.2319,95.2319,92.9147,95.7168,95.2319,94.9567,95.2319,95.2319,93.7139,95.3663,7.4255,0.134563
0,11,11,0.275,84.8403,84.8403,85.3623,89.846,84.8403,80.2988,84.8403,84.8403,78.8913,85.1227,13.8764,0.326066
0,12,12,0.3,95.6286,95.6286,93.2098,96.1606,95.6286,95.3433,95.6286,95.6286,94.0347,95.769,7.5094,0.136614
0,13,13,0.325,95.6811,95.6811,93.2916,96.1717,95.6811,95.3712,95.6811,95.6811,94.1119,95.8113,7.4423,0.126311
