task,round,global_round,task_progress,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
0,1,1,0.025,85.5936,85.5936,83.4975,87.6092,85.5936,86.7142,85.5936,85.5936,84.2729,86.0134,22.2674,0.476403
0,2,2,0.05,66.6568,66.6568,58.2949,66.5295,66.6568,53.1821,66.6568,66.6568,51.9328,62.1711,0.0402,0.917375
0,3,3,0.075,95.0689,95.0689,92.5689,95.6882,95.0689,94.7511,95.0689,95.0689,93.3757,95.2278,8.4528,0.153375
0,4,4,0.1,95.5405,95.5405,92.8936,95.8548,95.5405,94.9484,95.5405,95.5405,93.8097,95.6245,7.7339,0.133468
0,5,5,0.125,95.6774,95.6774,93.0617,95.9604,95.6774,95.0591,95.6774,95.6774,93.9607,95.7513,7.4744,0.123652
0,6,6,0.15,92.9723,92.9723,90.6048,93.4633,92.9723,92.7194,92.9723,92.9723,91.4812,93.0288,12.9065,0.215574
0,7,7,0.175,70.2143,70.2143,77.5399,83.287,70.2143,66.098,70.2143,70.2143,61.0953,70.2087,42.6879,1.303475
0,8,8,0.2,95.4008,95.4008,92.8586,95.9994,95.4008,95.1328,95.4008,95.4008,93.7216,95.5578,7.8966,0.141797
0,9,9,0.225,91.2617,91.2617,89.7657,93.2032,91.2617,84.9177,91.2617,91.2617,84.4141,90.8295,7.2605,0.290113
0,10,10,0.25,95.5459,95.5459,93.1173,96.0192,95.5459,95.1418,95.5459,95.5459,93.9201,95.6728,7.5049,0.125089
0,11,11,0.275,95.7084,95.7084,93.3227,96.2225,95.7084,95.4074,95.7084,95.7084,94.133,95.8453,7.3663,0.121405
0,12,12,0.3,84.3062,84.3062,83.8922,89.638,84.3062,80.2136,84.3062,84.3062,78.6464,84.8501,26.4426,0.768544
0,13,13,0.325,95.5869,95.5869,93.1577,96.1388,95.5869,95.2621,95.5869,95.5869,93.9612,95.7323,7.6082,0.136295
0,14,14,0.35,95.5336,95.5336,93.0189,95.7998,95.5336,94.8106,95.5336,95.5336,93.8245,95.6094,7.4296,0.137974
0,15,15,0.375,95.6362,95.6362,93.0474,95.9526,95.6362,95.036,95.6362,95.6362,93.9289,95.7236,7.5396,0.131296
0,16,16,0.4,91.3561,91.3561,88.4236,92.9824,91.3561,92.1514,91.3561,91.3561,89.5438,91.5296,21.2259,0.220145
0,17,17,0.425,95.7579,95.7579,93.3436,96.2701,95.7579,95.5139,95.7579,95.7579,94.1966,95.8921,7.4189,0.121166
0,18,18,0.45,95.7317,95.7317,93.1459,96.0222,95.7317,95.1502,95.7317,95.7317,94.0446,95.8087,7.4645,0.124283
0,19,19,0.475,95.7458,95.7458,93.1731,96.0412,95.7458,95.1929,95.7458,95.7458,94.0771,95.8244,7.402,0.123992
0,20,20,0.5,95.6945,95.6945,93.1624,95.982,95.6945,95.1634,95.6945,95.6945,94.0601,95.7647,7.7932,0.121481
0,21,21,0.525,95.9248,95.9248,93.3904,96.2127,95.9248,95.3684,95.9248,95.9248,94.2774,95.9999,7.2677,0.11306
0,22,22,0.55,89.2774,89.2774,86.2855,90.0839,89.2774,89.2257,89.2774,89.2774,87.4322,89.4056,21.0674,0.278689
0,23,23,0.575,95.9333,95.9333,93.5849,96.4432,95.9333,95.6733,95.9333,95.9333,94.3985,96.0689,7.0309,0.1094
0,24,24,0.6,95.9639,95.9639,93.5964,96.4974,95.9639,95.7574,95.9639,95.9639,94.4348,96.1044,7.1144,0.108058
0,25,25,0.625,95.9666,95.9666,93.4233,96.2622,95.9666,95.426,95.9666,95.9666,94.3193,96.0438,7.2281,0.110616
0,26,26,0.65,96.007,96.007,93.4549,96.3106,96.007,95.5148,96.007,96.007,94.3746,96.0866,7.1139,0.107827
0,27,27,0.675,95.957,95.957,93.4148,96.2491,95.957,95.4455,95.957,95.957,94.3247,96.0338,7.1303,0.109778
0,28,28,0.7,95.9572,95.9572,93.3641,96.2628,95.9572,95.4834,95.9572,95.9572,94.3111,96.0297,7.5572,0.110348
0,29,29,0.725,95.9907,95.9907,93.4289,96.2894,95.9907,95.4993,95.9907,95.9907,94.3553,96.0671,7.2015,0.108231
0,30,30,0.75,82.7526,82.7526,82.2197,84.557,82.7526,82.6557,82.7526,82.7526,81.6847,82.7822,18.4073,0.792888
0,31,31,0.775,95.949,95.949,93.5722,96.4662,95.949,95.7312,95.949,95.949,94.4182,96.0842,7.2131,0.109202
0,32,32,0.8,89.0454,89.0454,86.0613,89.7955,89.0454,89.0507,89.0454,89.0454,87.2326,89.1343,22.0518,0.248955
0,33,33,0.825,95.9812,95.9812,93.6041,96.5063,95.9812,95.7886,95.9812,95.9812,94.4591,96.1194,7.1207,0.106235
0,34,34,0.85,89.0177,89.0177,86.0516,89.7915,89.0177,89.0181,89.0177,89.0177,87.2135,89.1229,21.5752,0.248102
0,35,35,0.875,96.0207,96.0207,93.4576,96.3221,96.0207,95.5359,96.0207,96.0207,94.3869,96.0961,7.283,0.107462
0,36,36,0.9,95.629,95.629,93.1408,95.9228,95.629,95.1304,95.629,95.629,94.0296,95.6995,8.0157,0.124015
0,37,37,0.925,95.7238,95.7238,93.226,96.0123,95.7238,95.1878,95.7238,95.7238,94.1042,95.7963,7.6982,0.122688
0,38,38,0.95,95.9635,95.9635,93.4018,96.2679,95.9635,95.4989,95.9635,95.9635,94.3385,96.0363,7.5546,0.110299
0,39,39,0.975,95.948,95.948,93.6045,96.4664,95.948,95.698,95.948,95.948,94.4158,96.0845,7.0857,0.109597
